Post_ID,Date,Doctor_ID,Specialty,Topic,Content_Type,Reach,Likes,Comments,Shares,Saves,CTA,Total_Engagement,Engagement_Rate,Engagement_per_1K_Reach
P0209,2025-09-05,D013,Neurology,Headache,Reel/Video,5092,234,29,39,42,Book Appointment,344,6.755695208169678,67.55695208169678
P0210,2025-04-07,D013,Neurology,Memory,Static Post,2834,144,20,22,43,Save Post,229,8.08045165843331,80.8045165843331
P0211,2025-03-13,D005,Diabetology,HbA1c,Static Post,3294,69,5,9,10,No CTA,93,2.823315118397086,28.233151183970858
P0212,2025-08-01,D013,Neurology,Headache,Carousel,3499,216,32,26,34,No CTA,308,8.802515004286938,88.02515004286938
P0213,2025-06-05,D008,Pediatrics,Vaccination,Reel/Video,4532,236,37,30,40,No CTA,343,7.568402471315093,75.68402471315093
P0214,2025-08-09,D023,Cardiology,Heart Attack,Reel/Video,1689,110,6,16,18,Book Appointment,150,8.880994671403197,88.80994671403198
P0215,2025-01-19,D018,Dermatology,Acne,Flyer,3527,195,23,35,42,Save Post,295,8.364048766657216,83.64048766657216
P0216,2025-01-15,D021,Cardiology,Cholesterol,Carousel,3745,149,19,17,20,Book Appointment,205,5.473965287049399,54.73965287049399
P0217,2025-06-10,D012,Neurology,Headache,Static Post,3715,156,16,20,32,Learn More,224,6.029609690444145,60.296096904441455
P0218,2025-11-11,D029,General Medicine,Weight Loss,Carousel,4746,209,24,28,40,Learn More,301,6.342182890855458,63.42182890855458
P0219,2025-02-17,D004,Diabetology,Diabetes,Educational Post,7707,380,36,51,62,Read More,529,6.863889970157,68.63889970157
P0220,2025-01-14,D008,Pediatrics,Vaccination,Carousel,4079,106,11,15,19,Book Appointment,151,3.7018877175778377,37.01887717577838
P0221,2025-09-21,D022,Cardiology,Heart Attack,Reel/Video,10103,546,61,64,68,No CTA,739,7.314659012174602,73.14659012174602
P0222,2025-07-26,D015,Neurology,Stroke,Educational Post,3923,237,26,31,53,Learn More,347,8.845271475911293,88.45271475911292
P0223,2025-02-04,D021,Cardiology,Heart Attack,Flyer,3855,156,19,22,32,Save Post,229,5.940337224383916,59.403372243839165
P0224,2025-06-11,D002,Diabetology,Diabetic Diet,Flyer,4837,232,21,21,43,Read More,317,6.55364895596444,65.53648955964441
P0225,2025-01-12,D006,Pediatrics,Vaccination,Carousel,2824,146,25,26,30,Save Post,227,8.038243626062323,80.38243626062324
P0226,2025-09-18,D013,Neurology,Stroke,Reel/Video,1509,50,11,5,11,Book Appointment,77,5.1027170311464545,51.027170311464545
P0227,2025-12-06,D015,Neurology,Stroke,Static Post,2495,74,4,10,20,No CTA,108,4.328657314629258,43.28657314629258
P0228,2025-08-16,D003,Diabetology,HbA1c,Reel/Video,5275,269,27,37,47,Contact Doctor,380,7.203791469194313,72.03791469194313
P0229,2025-08-23,D005,Diabetology,Diabetes,Educational Post,5996,359,36,48,59,Contact Doctor,502,8.372248165443628,83.72248165443628
P0230,2025-09-23,D005,Diabetology,Blood Sugar,Reel/Video,3960,200,20,19,33,No CTA,272,6.8686868686868685,68.68686868686868
P0231,2025-12-18,D002,Diabetology,Blood Sugar,Carousel,14674,627,78,76,131,Contact Doctor,912,6.215074281041297,62.15074281041297
P0232,2025-09-25,D011,Neurology,Headache,Reel/Video,3479,116,12,17,25,Contact Doctor,170,4.886461626904283,48.86461626904283
P0233,2025-05-24,D016,Dermatology,Hair Loss,Carousel,5966,331,36,39,68,Read More,474,7.945021790144151,79.4502179014415
P0234,2025-12-16,D004,Diabetology,Blood Sugar,Carousel,3699,96,7,8,18,Learn More,129,3.4874290348742907,34.8742903487429
P0235,2025-12-18,D024,Cardiology,Blood Pressure,Static Post,9000,299,43,28,57,Read More,427,4.7444444444444445,47.44444444444444
P0236,2025-12-12,D005,Diabetology,Insulin,Static Post,2672,100,11,14,28,Learn More,153,5.726047904191617,57.26047904191617
P0237,2025-09-07,D025,Cardiology,ECG,Flyer,3123,96,7,10,9,Contact Doctor,122,3.9065001601024654,39.065001601024655
P0238,2025-05-05,D007,Pediatrics,Vaccination,Carousel,5767,292,51,42,45,Learn More,430,7.4562164036760885,74.56216403676089
P0239,2025-07-23,D004,Diabetology,Insulin,Carousel,4412,324,39,44,59,Contact Doctor,466,10.56210335448776,105.6210335448776
P0240,2025-03-06,D007,Pediatrics,Immunity,Static Post,2204,85,16,14,10,No CTA,125,5.671506352087114,56.71506352087114
P0241,2025-01-02,D025,Cardiology,Heart Health,Educational Post,4676,303,34,45,59,Contact Doctor,441,9.431137724550897,94.31137724550898
P0242,2025-06-19,D012,Neurology,Migraine,Carousel,4462,141,12,14,31,Book Appointment,198,4.437471985656656,44.374719856566564
P0243,2025-01-19,D020,Dermatology,Hair Loss,Carousel,3138,142,15,20,32,Book Appointment,209,6.660293180369663,66.60293180369662
P0244,2025-03-04,D008,Pediatrics,Child Nutrition,Educational Post,9041,340,48,46,69,Read More,503,5.563543855768168,55.635438557681674
P0245,2025-05-04,D028,General Medicine,Immunity,Reel/Video,1866,131,12,18,26,Learn More,187,10.021436227224008,100.21436227224008
P0246,2025-02-07,D023,Cardiology,Blood Pressure,Flyer,4627,199,20,20,35,Contact Doctor,274,5.921763561703047,59.217635617030474
P0247,2025-02-10,D024,Cardiology,Heart Attack,Static Post,2663,61,11,14,10,Save Post,96,3.6049568156214793,36.0495681562148
P0248,2025-08-17,D014,Neurology,Sleep,Educational Post,3954,268,22,27,53,Read More,370,9.357612544258979,93.57612544258978
P0249,2025-05-02,D021,Cardiology,ECG,Carousel,3727,164,18,22,35,Save Post,239,6.412664341293266,64.12664341293265
P0250,2025-12-06,D003,Diabetology,Diabetic Diet,Carousel,2571,157,29,21,33,Save Post,240,9.334889148191365,93.34889148191365
P0251,2025-12-21,D011,Neurology,Memory,Static Post,2329,51,6,10,11,Save Post,78,3.3490768570201808,33.49076857020181
P0252,2025-03-22,D022,Cardiology,ECG,Reel/Video,5471,338,35,45,54,Read More,472,8.627307622006946,86.27307622006946
P0253,2025-04-14,D009,Pediatrics,Immunity,Educational Post,3306,116,9,19,21,Contact Doctor,165,4.99092558983666,49.9092558983666
P0254,2025-03-05,D017,Dermatology,Sunscreen,Flyer,4364,293,48,32,41,Learn More,414,9.486709440879928,94.86709440879928
P0255,2025-11-14,D003,Diabetology,Diabetic Diet,Flyer,6090,212,22,30,42,Contact Doctor,306,5.024630541871921,50.24630541871921
P0256,2025-04-15,D014,Neurology,Memory,Educational Post,5190,241,21,26,49,Read More,337,6.493256262042389,64.9325626204239
P0257,2025-01-04,D003,Diabetology,HbA1c,Reel/Video,2411,118,9,18,28,Contact Doctor,173,7.17544587308171,71.75445873081709
P0258,2025-04-02,D018,Dermatology,Skin Allergy,Reel/Video,5037,312,34,55,41,Book Appointment,442,8.775064522533253,87.75064522533253
P0259,2025-03-19,D023,Cardiology,Heart Attack,Flyer,2577,95,10,10,16,Contact Doctor,131,5.083430345362825,50.83430345362825
P0260,2025-09-09,D030,General Medicine,Dehydration,Flyer,3165,107,15,15,22,No CTA,159,5.023696682464455,50.23696682464455
P0261,2025-10-19,D015,Neurology,Memory,Static Post,2650,78,8,10,10,Book Appointment,106,4.0,40.0
P0262,2025-07-27,D030,General Medicine,Vitamin Deficiency,Educational Post,2634,185,15,24,33,Book Appointment,257,9.757023538344722,97.57023538344723
P0263,2025-10-07,D002,Diabetology,Diabetic Diet,Static Post,2811,134,15,14,31,Learn More,194,6.901458555674138,69.01458555674138
P0264,2025-03-03,D016,Dermatology,Skin Allergy,Static Post,2368,109,12,13,27,Save Post,161,6.798986486486487,67.98986486486487
P0265,2025-11-20,D023,Cardiology,Cholesterol,Static Post,4527,172,19,27,28,Contact Doctor,246,5.4340622929092115,54.34062292909211
P0266,2025-08-18,D015,Neurology,Stroke,Reel/Video,1581,81,14,6,20,Save Post,121,7.65338393421885,76.53383934218849
P0267,2025-10-08,D030,General Medicine,Fever,Static Post,2925,123,11,23,33,Read More,190,6.495726495726497,64.95726495726497
P0268,2025-04-17,D019,Dermatology,Sunscreen,Educational Post,4429,133,18,19,21,No CTA,191,4.312485888462407,43.12485888462407
P0269,2025-06-04,D018,Dermatology,Sunscreen,Educational Post,2995,149,15,21,27,Save Post,212,7.078464106844741,70.78464106844741
P0270,2025-05-04,D029,General Medicine,Fever,Static Post,4603,211,18,31,42,Contact Doctor,302,6.560938518357593,65.60938518357592
P0271,2025-05-06,D019,Dermatology,Sunscreen,Carousel,4459,163,31,16,27,Read More,237,5.315093070195111,53.150930701951104
P0272,2025-02-11,D024,Cardiology,Blood Pressure,Flyer,3245,126,5,19,25,Contact Doctor,175,5.3929121725731894,53.929121725731896
P0273,2025-10-01,D012,Neurology,Memory,Flyer,8341,417,39,40,71,No CTA,567,6.797746073612276,67.97746073612277
P0274,2025-12-27,D012,Neurology,Memory,Educational Post,2413,148,13,19,45,Book Appointment,225,9.324492333195193,93.24492333195194
P0275,2025-10-26,D024,Cardiology,Heart Attack,Static Post,2234,60,12,8,9,Book Appointment,89,3.9838854073410923,39.83885407341092
P0276,2025-07-13,D014,Neurology,Memory,Static Post,7735,321,34,38,45,Save Post,438,5.662572721396251,56.625727213962506
P0277,2025-08-25,D021,Cardiology,Heart Attack,Reel/Video,2483,158,15,17,28,No CTA,218,8.77970197341925,87.7970197341925
P0278,2025-07-03,D028,General Medicine,Fever,Carousel,4625,341,32,44,55,Book Appointment,472,10.205405405405406,102.05405405405406
P0279,2025-11-15,D006,Pediatrics,Fever,Flyer,3143,190,21,20,29,No CTA,260,8.272351256761057,82.72351256761057
P0280,2025-05-16,D006,Pediatrics,Immunity,Static Post,3967,175,19,25,37,Read More,256,6.4532392235946565,64.53239223594656
P0281,2025-12-14,D027,General Medicine,Immunity,Educational Post,4335,319,33,36,52,Read More,440,10.149942329873126,101.49942329873126
P0282,2025-04-19,D025,Cardiology,Heart Attack,Carousel,16340,584,70,77,118,Learn More,849,5.195838433292534,51.958384332925334
P0283,2025-10-03,D025,Cardiology,ECG,Carousel,2160,138,15,13,34,Read More,200,9.25925925925926,92.59259259259258
P0284,2025-11-19,D009,Pediatrics,Vaccination,Static Post,6558,263,25,43,51,No CTA,382,5.824946630070143,58.249466300701435
P0285,2025-01-20,D022,Cardiology,Heart Attack,Carousel,3216,126,16,24,17,Save Post,183,5.690298507462686,56.90298507462686
P0286,2025-11-26,D030,General Medicine,Vitamin Deficiency,Reel/Video,5449,189,27,19,28,Learn More,263,4.826573683244632,48.26573683244632
P0287,2025-10-20,D028,General Medicine,Weight Loss,Educational Post,4447,232,26,30,42,Learn More,330,7.420733078479874,74.20733078479874
P0288,2025-12-21,D029,General Medicine,Dehydration,Flyer,7078,199,26,17,43,Book Appointment,285,4.026561175473297,40.26561175473298
P0289,2025-08-23,D024,Cardiology,Heart Attack,Static Post,3061,95,8,12,16,Read More,131,4.279647174126103,42.79647174126103
P0290,2025-11-28,D022,Cardiology,Heart Attack,Static Post,3587,174,16,18,37,Book Appointment,245,6.83022023975467,68.3022023975467
P0291,2025-10-26,D017,Dermatology,Skin Allergy,Reel/Video,5526,217,24,30,35,No CTA,306,5.537459283387622,55.37459283387622
P0292,2025-08-25,D016,Dermatology,Hair Loss,Carousel,1729,91,7,25,17,Read More,140,8.097165991902834,80.97165991902834
P0293,2025-05-15,D021,Cardiology,Heart Attack,Educational Post,3759,106,16,7,30,Learn More,159,4.2298483639265765,42.29848363926576
P0294,2025-04-05,D014,Neurology,Sleep,Reel/Video,2007,120,18,12,25,Save Post,175,8.719481813652218,87.19481813652217
P0295,2025-10-06,D018,Dermatology,Eczema,Carousel,6144,316,41,44,71,Book Appointment,472,7.682291666666667,76.82291666666667
P0296,2025-06-17,D030,General Medicine,Fever,Reel/Video,4331,190,31,29,43,Book Appointment,293,6.765181251443085,67.65181251443084
P0297,2025-08-06,D011,Neurology,Memory,Static Post,8630,255,40,29,43,No CTA,367,4.25260718424102,42.5260718424102
P0298,2025-04-01,D007,Pediatrics,Child Nutrition,Carousel,3042,70,6,7,17,Read More,100,3.2873109796186717,32.87310979618672
P0299,2025-11-13,D003,Diabetology,Insulin,Reel/Video,2464,153,20,21,32,Learn More,226,9.172077922077921,91.72077922077922
P0300,2025-03-19,D017,Dermatology,Skin Allergy,Carousel,3331,92,10,13,23,No CTA,138,4.142900030021015,41.42900030021015
P0301,2025-04-15,D002,Diabetology,HbA1c,Reel/Video,2729,193,19,22,40,Learn More,274,10.040307805056797,100.40307805056797
P0302,2025-06-13,D001,Diabetology,Diabetes,Flyer,2250,109,13,18,18,Book Appointment,158,7.022222222222223,70.22222222222223
P0303,2025-02-20,D020,Dermatology,Sunscreen,Carousel,6950,350,34,39,65,Book Appointment,488,7.0215827338129495,70.21582733812949
P0304,2025-10-27,D001,Diabetology,HbA1c,Educational Post,3303,165,19,27,34,Read More,245,7.417499243112322,74.17499243112321
P0305,2025-02-12,D024,Cardiology,Blood Pressure,Static Post,4741,176,21,29,32,Book Appointment,258,5.441889896646277,54.41889896646277
P0306,2025-06-21,D021,Cardiology,Heart Health,Reel/Video,5515,279,29,36,44,Learn More,388,7.035358114233907,70.35358114233907
P0307,2025-04-23,D009,Pediatrics,Child Nutrition,Carousel,3325,208,18,24,33,Book Appointment,283,8.511278195488723,85.11278195488723
P0308,2025-02-12,D003,Diabetology,HbA1c,Carousel,4192,143,18,14,26,Read More,201,4.794847328244275,47.94847328244275
P0309,2025-05-05,D002,Diabetology,Diabetic Diet,Educational Post,8486,86,8,14,18,Learn More,126,1.4847984916332784,14.847984916332784
P0310,2025-03-13,D019,Dermatology,Hair Loss,Flyer,5584,172,25,17,36,Save Post,250,4.477077363896848,44.770773638968485
P0311,2025-07-01,D028,General Medicine,Fever,Carousel,2319,98,7,19,16,Read More,140,6.0370849504096595,60.3708495040966
P0312,2025-07-14,D009,Pediatrics,Fever,Carousel,2651,130,15,14,22,No CTA,181,6.8276122218030935,68.27612221803093
P0313,2025-06-27,D018,Dermatology,Acne,Static Post,2431,58,7,5,10,Book Appointment,80,3.2908268202385846,32.90826820238585
P0314,2025-11-07,D019,Dermatology,Sunscreen,Educational Post,9314,330,32,51,47,Contact Doctor,460,4.938801803736311,49.38801803736311
P0315,2025-03-13,D009,Pediatrics,Child Nutrition,Reel/Video,4017,188,23,30,35,Read More,276,6.870799103808813,68.70799103808812
P0316,2025-05-21,D029,General Medicine,Weight Loss,Carousel,4405,234,26,29,41,Contact Doctor,330,7.491486946651532,74.91486946651533
P0317,2025-09-13,D028,General Medicine,Immunity,Reel/Video,5045,287,45,37,53,Learn More,422,8.36471754212091,83.64717542120911
P0318,2025-04-19,D020,Dermatology,Eczema,Static Post,4122,38,5,2,4,Save Post,49,1.1887433284813196,11.887433284813197
P0319,2025-06-08,D016,Dermatology,Hair Loss,Flyer,4473,167,14,22,27,Read More,230,5.141962888441761,51.41962888441762
P0320,2025-02-25,D003,Diabetology,Insulin,Educational Post,5655,269,29,33,48,Book Appointment,379,6.702033598585324,67.02033598585324
P0321,2025-06-26,D013,Neurology,Headache,Carousel,1927,134,14,13,25,Contact Doctor,186,9.652309289050336,96.52309289050336
P0322,2025-05-25,D019,Dermatology,Eczema,Static Post,8275,463,32,65,91,Read More,651,7.867069486404834,78.67069486404833
P0323,2025-09-06,D018,Dermatology,Hair Loss,Static Post,3698,153,24,22,27,Read More,226,6.1114115738236885,61.11411573823688
P0324,2025-11-15,D028,General Medicine,Immunity,Reel/Video,1671,24,2,5,3,Book Appointment,34,2.0347097546379413,20.347097546379413
P0325,2025-10-11,D030,General Medicine,Vitamin Deficiency,Reel/Video,3087,142,16,26,28,Save Post,212,6.8675089083252345,68.67508908325235
P0326,2025-05-24,D019,Dermatology,Skin Allergy,Carousel,2863,118,17,15,29,Learn More,179,6.252183024799161,62.521830247991616
P0327,2025-09-28,D025,Cardiology,Cholesterol,Static Post,1975,64,13,7,9,Contact Doctor,93,4.708860759493671,47.08860759493671
P0328,2025-08-14,D016,Dermatology,Sunscreen,Reel/Video,7088,205,33,21,36,Save Post,295,4.16196388261851,41.6196388261851
P0329,2025-11-15,D027,General Medicine,Vitamin Deficiency,Flyer,6810,301,36,32,55,Learn More,424,6.226138032305433,62.26138032305433
P0330,2025-01-18,D002,Diabetology,Blood Sugar,Carousel,3280,164,13,15,22,Contact Doctor,214,6.524390243902439,65.2439024390244
P0331,2025-10-09,D020,Dermatology,Hair Loss,Educational Post,1779,96,10,14,18,No CTA,138,7.75716694772344,77.5716694772344
P0332,2025-12-08,D019,Dermatology,Acne,Static Post,2164,97,9,12,23,Book Appointment,141,6.515711645101664,65.15711645101665
P0333,2025-05-16,D026,General Medicine,Immunity,Static Post,2951,127,15,20,23,Contact Doctor,185,6.26906133514063,62.6906133514063
P0334,2025-09-23,D021,Cardiology,Heart Health,Static Post,5006,107,12,16,24,Read More,159,3.176188573711546,31.761885737115463
P0335,2025-08-27,D022,Cardiology,Heart Attack,Educational Post,1408,60,8,8,11,Read More,87,6.1789772727272725,61.78977272727273
P0336,2025-04-21,D022,Cardiology,Heart Attack,Static Post,3657,109,12,10,19,Contact Doctor,150,4.1017227235438884,41.01722723543889
P0337,2025-03-16,D015,Neurology,Memory,Reel/Video,6105,317,34,40,66,No CTA,457,7.485667485667485,74.85667485667486
P0338,2025-12-23,D029,General Medicine,Fever,Carousel,2471,164,23,25,35,Learn More,247,9.995953055443142,99.95953055443141
P0339,2025-01-16,D028,General Medicine,Weight Loss,Static Post,2979,102,17,17,27,Learn More,163,5.4716347767707285,54.71634776770728
P0340,2025-07-11,D011,Neurology,Headache,Flyer,2570,96,8,12,13,Learn More,129,5.019455252918288,50.19455252918288
P0341,2025-07-13,D028,General Medicine,Fever,Static Post,3028,93,18,11,20,Read More,142,4.689564068692206,46.895640686922064
P0342,2025-10-24,D022,Cardiology,Heart Attack,Flyer,1028,30,5,6,4,Read More,45,4.3774319066147855,43.774319066147854
P0343,2025-07-23,D027,General Medicine,Dehydration,Static Post,1683,123,9,13,18,Learn More,163,9.68508615567439,96.85086155674391
P0344,2025-03-12,D025,Cardiology,ECG,Reel/Video,2920,118,15,19,24,Contact Doctor,176,6.027397260273973,60.273972602739725
P0345,2025-06-08,D017,Dermatology,Hair Loss,Carousel,4283,133,20,11,19,Contact Doctor,183,4.2727060471632035,42.727060471632036
P0346,2025-03-10,D026,General Medicine,Fever,Educational Post,3826,192,25,23,31,Read More,271,7.083115525352849,70.83115525352848
P0347,2025-04-21,D004,Diabetology,HbA1c,Flyer,2319,75,5,11,16,No CTA,107,4.614057783527382,46.140577835273824
P0348,2025-01-10,D020,Dermatology,Hair Loss,Flyer,1888,95,14,7,17,Book Appointment,133,7.044491525423729,70.4449152542373
P0349,2025-08-09,D029,General Medicine,Immunity,Flyer,7396,358,47,53,67,Save Post,525,7.0984315846403465,70.98431584640346
P0350,2025-07-13,D005,Diabetology,HbA1c,Flyer,3891,101,4,13,18,Contact Doctor,136,3.4952454381906963,34.95245438190697
P0351,2025-07-21,D013,Neurology,Memory,Reel/Video,6874,340,46,44,67,Contact Doctor,497,7.230142566191446,72.30142566191445
P0352,2025-01-28,D013,Neurology,Migraine,Educational Post,7160,221,37,35,36,Book Appointment,329,4.594972067039106,45.94972067039106
P0353,2025-06-07,D009,Pediatrics,Fever,Static Post,3390,181,14,19,39,Read More,253,7.463126843657817,74.63126843657818
P0354,2025-06-27,D015,Neurology,Stroke,Static Post,2586,127,18,19,24,Book Appointment,188,7.269914926527456,72.69914926527456
P0355,2025-02-20,D025,Cardiology,Blood Pressure,Carousel,3477,126,16,19,25,Read More,186,5.349439171699741,53.494391716997406
P0356,2025-03-16,D004,Diabetology,HbA1c,Reel/Video,7399,419,52,42,74,Book Appointment,587,7.93350452763887,79.3350452763887
P0357,2025-01-21,D027,General Medicine,Vitamin Deficiency,Educational Post,4040,245,26,43,60,Learn More,374,9.257425742574258,92.57425742574257
P0358,2025-09-21,D030,General Medicine,Immunity,Reel/Video,4854,217,30,28,40,Learn More,315,6.489493201483312,64.89493201483312
P0359,2025-08-21,D030,General Medicine,Vitamin Deficiency,Carousel,11173,644,76,70,120,Learn More,910,8.144634386467377,81.44634386467376
P0360,2025-04-27,D001,Diabetology,Insulin,Flyer,5145,215,21,19,44,Learn More,299,5.811467444120506,58.114674441205054
P0361,2025-05-22,D005,Diabetology,Insulin,Static Post,3960,111,10,16,22,Learn More,159,4.015151515151516,40.151515151515156
P0362,2025-06-05,D008,Pediatrics,Newborn Care,Reel/Video,1890,85,12,11,13,Read More,121,6.402116402116402,64.02116402116403
P0363,2025-10-07,D025,Cardiology,Heart Health,Flyer,2628,149,16,16,21,Learn More,202,7.686453576864535,76.86453576864535
P0364,2025-11-12,D024,Cardiology,Cholesterol,Reel/Video,4565,210,30,30,39,Save Post,309,6.768893756845563,67.68893756845563
P0365,2025-02-23,D004,Diabetology,Diabetes,Educational Post,5752,215,39,18,43,No CTA,315,5.476356050069541,54.76356050069541
P0366,2025-08-15,D019,Dermatology,Skin Allergy,Flyer,7590,465,58,68,85,Save Post,676,8.906455862977602,89.06455862977603
P0367,2025-06-09,D010,Pediatrics,Child Nutrition,Carousel,3639,122,10,11,19,No CTA,162,4.451772464962902,44.51772464962902
P0368,2025-09-03,D010,Pediatrics,Vaccination,Reel/Video,1578,91,11,9,16,Book Appointment,127,8.048162230671736,80.48162230671737
P0369,2025-03-15,D004,Diabetology,Diabetes,Flyer,4592,134,14,10,29,Save Post,187,4.072299651567944,40.72299651567944
P0370,2025-02-02,D001,Diabetology,Insulin,Flyer,7720,256,26,33,31,Read More,346,4.481865284974093,44.81865284974093
P0371,2025-12-05,D006,Pediatrics,Newborn Care,Flyer,9098,393,38,48,81,Contact Doctor,560,6.155198944823038,61.55198944823038
P0372,2025-02-11,D023,Cardiology,Blood Pressure,Reel/Video,7246,204,20,25,36,Save Post,285,3.933204526635385,39.33204526635385
P0373,2025-01-02,D016,Dermatology,Skin Allergy,Reel/Video,2589,175,17,14,28,Contact Doctor,234,9.038238702201621,90.38238702201622
P0374,2025-09-18,D001,Diabetology,Diabetes,Static Post,5874,278,28,29,56,Book Appointment,391,6.656452162070139,66.5645216207014
P0375,2025-09-02,D021,Cardiology,Cholesterol,Static Post,4412,232,23,33,36,Book Appointment,324,7.343608340888485,73.43608340888485
P0376,2025-11-23,D008,Pediatrics,Newborn Care,Carousel,9636,474,46,50,83,Book Appointment,653,6.776670817766709,67.76670817766708
P0377,2025-01-16,D009,Pediatrics,Vaccination,Static Post,3969,204,25,33,39,Learn More,301,7.583774250440917,75.83774250440916
P0378,2025-02-19,D003,Diabetology,HbA1c,Carousel,7968,484,52,67,94,Contact Doctor,697,8.747489959839358,87.47489959839358
P0379,2025-04-24,D011,Neurology,Sleep,Flyer,6729,122,16,13,22,No CTA,173,2.5709615098825975,25.709615098825978
P0380,2025-05-21,D008,Pediatrics,Immunity,Educational Post,4878,269,29,36,39,Book Appointment,373,7.646576465764658,76.46576465764659
P0381,2025-03-07,D007,Pediatrics,Vaccination,Educational Post,5396,211,28,22,34,Contact Doctor,295,5.467012601927354,54.67012601927353
P0382,2025-03-26,D017,Dermatology,Acne,Flyer,2439,83,6,5,20,No CTA,114,4.674046740467404,46.74046740467404
P0383,2025-11-24,D024,Cardiology,Heart Attack,Static Post,6685,199,24,30,29,Learn More,282,4.218399401645475,42.18399401645475
P0384,2025-04-17,D006,Pediatrics,Fever,Carousel,5164,310,30,27,52,Read More,419,8.113865220759102,81.13865220759102
P0385,2025-07-13,D012,Neurology,Memory,Static Post,2299,70,11,8,16,Contact Doctor,105,4.5672031317964334,45.67203131796433
P0386,2025-08-25,D028,General Medicine,Weight Loss,Carousel,5608,417,46,48,75,Learn More,586,10.449358059914408,104.49358059914408
P0387,2025-09-18,D027,General Medicine,Weight Loss,Static Post,5080,260,22,32,54,Save Post,368,7.244094488188976,72.44094488188976
P0388,2025-09-14,D018,Dermatology,Hair Loss,Carousel,4155,224,29,31,44,Book Appointment,328,7.894103489771359,78.94103489771359
P0389,2025-06-08,D025,Cardiology,Blood Pressure,Educational Post,7587,402,44,63,74,Learn More,583,7.684196652168182,76.84196652168183
P0390,2025-06-15,D024,Cardiology,Heart Health,Carousel,3759,159,16,15,19,Book Appointment,209,5.55998935887204,55.599893588720406
P0391,2025-05-18,D016,Dermatology,Sunscreen,Carousel,4573,255,26,31,48,Contact Doctor,360,7.872293898972228,78.72293898972228
P0392,2025-01-22,D029,General Medicine,Immunity,Static Post,3522,158,15,20,21,Book Appointment,214,6.076093128904032,60.760931289040315
P0393,2025-04-05,D003,Diabetology,Diabetic Diet,Educational Post,2027,87,2,7,8,Book Appointment,104,5.130735076467687,51.30735076467686
P0394,2025-05-23,D019,Dermatology,Skin Allergy,Reel/Video,5157,344,47,54,77,No CTA,522,10.12216404886562,101.2216404886562
P0395,2025-01-09,D022,Cardiology,Heart Health,Educational Post,2376,111,13,17,15,Book Appointment,156,6.565656565656567,65.65656565656566
P0396,2025-12-26,D022,Cardiology,Blood Pressure,Reel/Video,4590,237,22,35,39,Contact Doctor,333,7.254901960784315,72.54901960784315
P0397,2025-02-21,D008,Pediatrics,Immunity,Static Post,3032,161,22,21,34,Read More,238,7.849604221635883,78.49604221635883
P0398,2025-10-05,D022,Cardiology,Heart Health,Flyer,4741,262,27,31,40,No CTA,360,7.593334739506433,75.93334739506433
P0399,2025-12-25,D030,General Medicine,Fever,Carousel,1849,66,12,11,10,No CTA,99,5.354245538128718,53.54245538128718
P0400,2025-06-22,D022,Cardiology,ECG,Reel/Video,3523,87,12,15,17,Save Post,131,3.7184217996026114,37.18421799602611
P0401,2025-10-11,D026,General Medicine,Weight Loss,Reel/Video,3308,162,19,23,35,Book Appointment,239,7.22490931076179,72.2490931076179
P0402,2025-11-14,D016,Dermatology,Eczema,Static Post,7391,360,39,43,59,Save Post,501,6.778514409416858,67.78514409416859
P0403,2025-02-26,D019,Dermatology,Skin Allergy,Carousel,6630,381,47,66,59,No CTA,553,8.340874811463046,83.40874811463047
P0404,2025-10-20,D023,Cardiology,Blood Pressure,Educational Post,3408,156,15,16,24,No CTA,211,6.19131455399061,61.913145539906104
P0405,2025-04-14,D012,Neurology,Stroke,Static Post,4203,74,12,11,12,Contact Doctor,109,2.593385676897454,25.933856768974543
P0406,2025-03-17,D003,Diabetology,Diabetes,Flyer,1568,72,9,7,15,Contact Doctor,103,6.568877551020408,65.68877551020408
P0407,2025-04-06,D005,Diabetology,Diabetic Diet,Static Post,5807,115,9,10,20,Learn More,154,2.6519717582228344,26.519717582228342
P0408,2025-02-04,D025,Cardiology,ECG,Carousel,4292,157,11,22,23,No CTA,213,4.962721342031687,49.62721342031687
P0409,2025-01-06,D013,Neurology,Stroke,Static Post,4079,136,17,19,24,Save Post,196,4.805099289041432,48.05099289041432
P0410,2025-02-21,D017,Dermatology,Hair Loss,Static Post,4457,196,25,27,31,No CTA,279,6.259816019744223,62.598160197442226
P0411,2025-04-15,D022,Cardiology,ECG,Static Post,8947,390,54,55,79,Read More,578,6.460266010953392,64.60266010953391
P0412,2025-05-18,D005,Diabetology,Blood Sugar,Reel/Video,5358,374,37,39,69,Contact Doctor,519,9.686450167973124,96.86450167973125
P0413,2025-08-26,D020,Dermatology,Hair Loss,Carousel,5541,246,29,29,50,Read More,354,6.388738494856525,63.88738494856525
P0414,2025-01-03,D010,Pediatrics,Vaccination,Carousel,4883,306,33,42,47,Book Appointment,428,8.765103420028671,87.6510342002867
P0415,2025-07-14,D012,Neurology,Migraine,Educational Post,2644,110,16,16,24,No CTA,166,6.278366111951589,62.78366111951589
P0416,2025-10-18,D005,Diabetology,HbA1c,Reel/Video,7662,463,43,61,83,Read More,650,8.48342469329157,84.83424693291569
P0417,2025-11-11,D029,General Medicine,Dehydration,Carousel,4825,210,30,30,35,Save Post,305,6.321243523316062,63.212435233160626
